dark_zone_id,x,y,sunlight_hours,severity,nearest_building_id,notes
DZ0001,6.0,-4.0,2.0,medium,B07,simplified ground-grid dark point
DZ0002,8.0,-4.0,0.0,high,B07,simplified ground-grid dark point
DZ0003,8.0,-2.0,2.0,medium,B07,simplified ground-grid dark point
DZ0004,10.0,-4.0,0.0,high,B07,simplified ground-grid dark point
DZ0005,10.0,-2.0,1.0,high,B07,simplified ground-grid dark point
DZ0006,12.0,-4.0,0.0,high,B07,simplified ground-grid dark point
DZ0007,12.0,-2.0,0.0,high,B07,simplified ground-grid dark point
DZ0008,12.0,0.0,2.0,medium,B01,simplified ground-grid dark point
DZ0009,14.0,-4.0,0.0,high,B07,simplified ground-grid dark point
DZ0010,14.0,-2.0,0.0,high,B07,simplified ground-grid dark point
DZ0011,14.0,0.0,1.0,high,B01,simplified ground-grid dark point
DZ0012,16.0,-4.0,0.0,high,B07,simplified ground-grid dark point
DZ0013,16.0,-2.0,0.0,high,B07,simplified ground-grid dark point
DZ0014,16.0,0.0,1.0,high,B01,simplified ground-grid dark point
DZ0015,18.0,-10.0,1.0,high,B07,simplified ground-grid dark point
DZ0016,18.0,-8.0,1.0,high,B07,simplified ground-grid dark point
DZ0017,18.0,-6.0,1.0,high,B07,simplified ground-grid dark point
DZ0018,18.0,-4.0,1.0,high,B07,simplified ground-grid dark point
DZ0019,18.0,-2.0,1.0,high,B07,simplified ground-grid dark point
DZ0020,18.0,0.0,1.0,high,B01,simplified ground-grid dark point
DZ0021,20.0,-4.0,0.0,high,B08,simplified ground-grid dark point
DZ0022,20.0,-2.0,1.0,high,B08,simplified ground-grid dark point
DZ0023,20.0,0.0,1.0,high,B08,simplified ground-grid dark point
DZ0024,20.0,2.0,2.0,medium,B02,simplified ground-grid dark point
DZ0025,20.0,10.0,2.0,medium,B02,simplified ground-grid dark point
DZ0026,22.0,-4.0,0.0,high,B08,simplified ground-grid dark point
DZ0027,22.0,-2.0,0.0,high,B08,simplified ground-grid dark point
DZ0028,22.0,0.0,1.0,high,B02,simplified ground-grid dark point
DZ0029,22.0,2.0,1.0,high,B02,simplified ground-grid dark point
DZ0030,24.0,-4.0,0.0,high,B08,simplified ground-grid dark point
DZ0031,24.0,-2.0,0.0,high,B08,simplified ground-grid dark point
DZ0032,24.0,0.0,0.0,high,B02,simplified ground-grid dark point
DZ0033,24.0,2.0,1.0,high,B02,simplified ground-grid dark point
DZ0034,26.0,-4.0,0.0,high,B08,simplified ground-grid dark point
DZ0035,26.0,-2.0,0.0,high,B08,simplified ground-grid dark point
DZ0036,26.0,0.0,0.0,high,B02,simplified ground-grid dark point
DZ0037,26.0,2.0,0.0,high,B02,simplified ground-grid dark point
DZ0038,28.0,-4.0,0.0,high,B08,simplified ground-grid dark point
DZ0039,28.0,-2.0,1.0,high,B08,simplified ground-grid dark point
DZ0040,28.0,0.0,1.0,high,B02,simplified ground-grid dark point
DZ0041,28.0,2.0,1.0,high,B02,simplified ground-grid dark point
DZ0042,30.0,-10.0,1.0,high,B08,simplified ground-grid dark point
DZ0043,30.0,-8.0,1.0,high,B08,simplified ground-grid dark point
DZ0044,30.0,-6.0,1.0,high,B08,simplified ground-grid dark point
DZ0045,30.0,-4.0,1.0,high,B08,simplified ground-grid dark point
DZ0046,30.0,-2.0,1.0,high,B08,simplified ground-grid dark point
DZ0047,30.0,0.0,1.0,high,B02,simplified ground-grid dark point
DZ0048,30.0,2.0,1.0,high,B02,simplified ground-grid dark point
DZ0049,30.0,4.0,1.0,high,B02,simplified ground-grid dark point
DZ0050,32.0,-10.0,1.0,high,B09,simplified ground-grid dark point
DZ0051,32.0,-8.0,1.0,high,B09,simplified ground-grid dark point
DZ0052,32.0,-6.0,1.0,high,B09,simplified ground-grid dark point
DZ0053,32.0,-4.0,1.0,high,B09,simplified ground-grid dark point
DZ0054,32.0,-2.0,1.0,high,B09,simplified ground-grid dark point
DZ0055,32.0,0.0,1.0,high,B02,simplified ground-grid dark point
DZ0056,32.0,2.0,1.0,high,B02,simplified ground-grid dark point
DZ0057,32.0,4.0,1.0,high,B02,simplified ground-grid dark point
DZ0058,34.0,-4.0,0.0,high,B09,simplified ground-grid dark point
DZ0059,34.0,-2.0,1.0,high,B09,simplified ground-grid dark point
DZ0060,34.0,0.0,1.0,high,B02,simplified ground-grid dark point
DZ0061,34.0,2.0,1.0,high,B02,simplified ground-grid dark point
DZ0062,34.0,4.0,1.0,high,B02,simplified ground-grid dark point
DZ0063,36.0,-4.0,0.0,high,B09,simplified ground-grid dark point
DZ0064,36.0,-2.0,0.0,high,B09,simplified ground-grid dark point
DZ0065,36.0,0.0,0.0,high,B09,simplified ground-grid dark point
DZ0066,36.0,2.0,0.0,high,B02,simplified ground-grid dark point
DZ0067,36.0,4.0,1.0,high,B02,simplified ground-grid dark point
DZ0068,36.0,10.0,1.0,high,B02,simplified ground-grid dark point
DZ0069,38.0,-4.0,0.0,high,B09,simplified ground-grid dark point
DZ0070,38.0,-2.0,0.0,high,B09,simplified ground-grid dark point
DZ0071,38.0,0.0,0.0,high,B03,simplified ground-grid dark point
DZ0072,38.0,2.0,1.0,high,B03,simplified ground-grid dark point
DZ0073,38.0,4.0,1.0,high,B03,simplified ground-grid dark point
DZ0074,40.0,-4.0,0.0,high,B09,simplified ground-grid dark point
DZ0075,40.0,-2.0,0.0,high,B09,simplified ground-grid dark point
DZ0076,40.0,0.0,0.0,high,B03,simplified ground-grid dark point
DZ0077,40.0,2.0,0.0,high,B03,simplified ground-grid dark point
DZ0078,40.0,4.0,0.0,high,B03,simplified ground-grid dark point
DZ0079,42.0,-4.0,0.0,high,B09,simplified ground-grid dark point
DZ0080,42.0,-2.0,0.0,high,B09,simplified ground-grid dark point
