grid_id,x,y,sunlight_hours,shadow_hours,is_dark_zone
G00001,-6.0,-8.0,8.0,1.0,False
G00002,-6.0,-6.0,8.0,1.0,False
G00003,-6.0,-4.0,8.0,1.0,False
G00004,-6.0,-2.0,8.0,1.0,False
G00005,-6.0,0.0,8.0,1.0,False
G00006,-6.0,2.0,8.0,1.0,False
G00007,-6.0,4.0,8.0,1.0,False
G00008,-6.0,6.0,8.0,1.0,False
G00009,-6.0,8.0,8.0,1.0,False
G00010,-4.0,-8.0,7.0,2.0,False
G00011,-4.0,-6.0,7.0,2.0,False
G00012,-4.0,-4.0,7.0,2.0,False
G00013,-4.0,-2.0,7.0,2.0,False
G00014,-4.0,0.0,7.0,2.0,False
G00015,-4.0,2.0,7.0,2.0,False
G00016,-4.0,4.0,8.0,1.0,False
G00017,-4.0,6.0,8.0,1.0,False
G00018,-4.0,8.0,8.0,1.0,False
G00019,-2.0,-8.0,7.0,2.0,False
G00020,-2.0,-6.0,7.0,2.0,False
G00021,-2.0,-4.0,7.0,2.0,False
G00022,-2.0,-2.0,7.0,2.0,False
G00023,-2.0,0.0,7.0,2.0,False
G00024,-2.0,2.0,7.0,2.0,False
G00025,-2.0,4.0,8.0,1.0,False
G00026,-2.0,6.0,8.0,1.0,False
G00027,-2.0,8.0,8.0,1.0,False
G00028,0.0,-10.0,6.0,3.0,False
G00029,0.0,-8.0,6.0,3.0,False
G00030,0.0,-6.0,6.0,3.0,False
G00031,0.0,-4.0,6.0,3.0,False
G00032,0.0,-2.0,6.0,3.0,False
G00033,0.0,0.0,6.0,3.0,False
G00034,0.0,2.0,7.0,2.0,False
G00035,0.0,4.0,8.0,1.0,False
G00036,0.0,6.0,8.0,1.0,False
G00037,0.0,8.0,8.0,1.0,False
G00038,0.0,10.0,8.0,1.0,False
G00039,2.0,-10.0,5.0,4.0,False
G00040,2.0,-8.0,5.0,4.0,False
G00041,2.0,-6.0,5.0,4.0,False
G00042,2.0,-4.0,5.0,4.0,False
G00043,2.0,-2.0,5.0,4.0,False
G00044,2.0,0.0,5.0,4.0,False
G00045,2.0,2.0,7.0,2.0,False
G00046,2.0,4.0,8.0,1.0,False
G00047,2.0,6.0,8.0,1.0,False
G00048,2.0,8.0,8.0,1.0,False
G00049,2.0,10.0,8.0,1.0,False
G00050,4.0,-4.0,4.0,5.0,False
G00051,4.0,-2.0,4.0,5.0,False
G00052,4.0,0.0,5.0,4.0,False
G00053,4.0,2.0,7.0,2.0,False
G00054,4.0,4.0,8.0,1.0,False
G00055,4.0,6.0,8.0,1.0,False
G00056,4.0,8.0,8.0,1.0,False
G00057,4.0,10.0,6.0,3.0,False
G00058,6.0,-4.0,2.0,7.0,True
G00059,6.0,-2.0,3.0,6.0,False
G00060,6.0,0.0,5.0,4.0,False
G00061,6.0,2.0,7.0,2.0,False
G00062,6.0,4.0,7.0,2.0,False
G00063,8.0,-4.0,0.0,9.0,True
G00064,8.0,-2.0,2.0,7.0,True
G00065,8.0,0.0,4.0,5.0,False
G00066,8.0,2.0,7.0,2.0,False
G00067,8.0,4.0,7.0,2.0,False
G00068,10.0,-4.0,0.0,9.0,True
G00069,10.0,-2.0,1.0,8.0,True
G00070,10.0,0.0,3.0,6.0,False
G00071,10.0,2.0,7.0,2.0,False
G00072,10.0,4.0,7.0,2.0,False
G00073,12.0,-4.0,0.0,9.0,True
G00074,12.0,-2.0,0.0,9.0,True
G00075,12.0,0.0,2.0,7.0,True
G00076,12.0,2.0,6.0,3.0,False
G00077,12.0,4.0,6.0,3.0,False
G00078,14.0,-4.0,0.0,9.0,True
G00079,14.0,-2.0,0.0,9.0,True
G00080,14.0,0.0,1.0,8.0,True
G00081,14.0,2.0,5.0,4.0,False
G00082,14.0,4.0,6.0,3.0,False
G00083,16.0,-4.0,0.0,9.0,True
G00084,16.0,-2.0,0.0,9.0,True
G00085,16.0,0.0,1.0,8.0,True
G00086,16.0,2.0,3.0,6.0,False
G00087,16.0,4.0,5.0,4.0,False
G00088,18.0,-10.0,1.0,8.0,True
G00089,18.0,-8.0,1.0,8.0,True
G00090,18.0,-6.0,1.0,8.0,True
G00091,18.0,-4.0,1.0,8.0,True
G00092,18.0,-2.0,1.0,8.0,True
G00093,18.0,0.0,1.0,8.0,True
G00094,18.0,2.0,3.0,6.0,False
G00095,18.0,4.0,5.0,4.0,False
G00096,20.0,-4.0,0.0,9.0,True
G00097,20.0,-2.0,1.0,8.0,True
G00098,20.0,0.0,1.0,8.0,True
G00099,20.0,2.0,2.0,7.0,True
G00100,20.0,4.0,4.0,5.0,False
G00101,20.0,6.0,7.0,2.0,False
G00102,20.0,8.0,6.0,3.0,False
G00103,20.0,10.0,2.0,7.0,True
G00104,22.0,-4.0,0.0,9.0,True
G00105,22.0,-2.0,0.0,9.0,True
G00106,22.0,0.0,1.0,8.0,True
G00107,22.0,2.0,1.0,8.0,True
G00108,22.0,4.0,4.0,5.0,False
G00109,24.0,-4.0,0.0,9.0,True
G00110,24.0,-2.0,0.0,9.0,True
G00111,24.0,0.0,0.0,9.0,True
G00112,24.0,2.0,1.0,8.0,True
G00113,24.0,4.0,3.0,6.0,False
G00114,26.0,-4.0,0.0,9.0,True
G00115,26.0,-2.0,0.0,9.0,True
G00116,26.0,0.0,0.0,9.0,True
G00117,26.0,2.0,0.0,9.0,True
G00118,26.0,4.0,3.0,6.0,False
G00119,28.0,-4.0,0.0,9.0,True
G00120,28.0,-2.0,1.0,8.0,True
G00121,28.0,0.0,1.0,8.0,True
G00122,28.0,2.0,1.0,8.0,True
G00123,28.0,4.0,3.0,6.0,False
G00124,30.0,-10.0,1.0,8.0,True
G00125,30.0,-8.0,1.0,8.0,True
G00126,30.0,-6.0,1.0,8.0,True
G00127,30.0,-4.0,1.0,8.0,True
G00128,30.0,-2.0,1.0,8.0,True
G00129,30.0,0.0,1.0,8.0,True
G00130,30.0,2.0,1.0,8.0,True
G00131,30.0,4.0,1.0,8.0,True
G00132,32.0,-10.0,1.0,8.0,True
G00133,32.0,-8.0,1.0,8.0,True
G00134,32.0,-6.0,1.0,8.0,True
G00135,32.0,-4.0,1.0,8.0,True
G00136,32.0,-2.0,1.0,8.0,True
G00137,32.0,0.0,1.0,8.0,True
G00138,32.0,2.0,1.0,8.0,True
G00139,32.0,4.0,1.0,8.0,True
G00140,34.0,-4.0,0.0,9.0,True
G00141,34.0,-2.0,1.0,8.0,True
G00142,34.0,0.0,1.0,8.0,True
G00143,34.0,2.0,1.0,8.0,True
G00144,34.0,4.0,1.0,8.0,True
G00145,36.0,-4.0,0.0,9.0,True
G00146,36.0,-2.0,0.0,9.0,True
G00147,36.0,0.0,0.0,9.0,True
G00148,36.0,2.0,0.0,9.0,True
G00149,36.0,4.0,1.0,8.0,True
G00150,36.0,6.0,3.0,6.0,False
G00151,36.0,8.0,4.0,5.0,False
G00152,36.0,10.0,1.0,8.0,True
G00153,38.0,-4.0,0.0,9.0,True
G00154,38.0,-2.0,0.0,9.0,True
G00155,38.0,0.0,0.0,9.0,True
G00156,38.0,2.0,1.0,8.0,True
G00157,38.0,4.0,1.0,8.0,True
G00158,40.0,-4.0,0.0,9.0,True
G00159,40.0,-2.0,0.0,9.0,True
G00160,40.0,0.0,0.0,9.0,True
G00161,40.0,2.0,0.0,9.0,True
G00162,40.0,4.0,0.0,9.0,True
G00163,42.0,-4.0,0.0,9.0,True
G00164,42.0,-2.0,0.0,9.0,True
G00165,42.0,0.0,0.0,9.0,True
G00166,42.0,2.0,0.0,9.0,True
G00167,42.0,4.0,0.0,9.0,True
G00168,44.0,-4.0,0.0,9.0,True
G00169,44.0,-2.0,0.0,9.0,True
G00170,44.0,0.0,0.0,9.0,True
G00171,44.0,2.0,0.0,9.0,True
G00172,44.0,4.0,0.0,9.0,True
G00173,46.0,-4.0,0.0,9.0,True
G00174,46.0,-2.0,0.0,9.0,True
G00175,46.0,0.0,0.0,9.0,True
G00176,46.0,2.0,0.0,9.0,True
G00177,46.0,4.0,0.0,9.0,True
G00178,48.0,-4.0,0.0,9.0,True
G00179,48.0,-2.0,0.0,9.0,True
G00180,48.0,0.0,0.0,9.0,True
G00181,48.0,2.0,0.0,9.0,True
G00182,48.0,4.0,0.0,9.0,True
G00183,50.0,-10.0,1.0,8.0,True
G00184,50.0,-8.0,1.0,8.0,True
G00185,50.0,-6.0,1.0,8.0,True
G00186,50.0,-4.0,1.0,8.0,True
G00187,50.0,-2.0,1.0,8.0,True
G00188,50.0,0.0,1.0,8.0,True
G00189,50.0,2.0,1.0,8.0,True
G00190,50.0,4.0,1.0,8.0,True
G00191,50.0,6.0,1.0,8.0,True
G00192,50.0,8.0,3.0,6.0,False
G00193,50.0,10.0,2.0,7.0,True
G00194,52.0,-4.0,0.0,9.0,True
G00195,52.0,-2.0,0.0,9.0,True
G00196,52.0,0.0,0.0,9.0,True
G00197,52.0,2.0,0.0,9.0,True
G00198,52.0,4.0,0.0,9.0,True
G00199,54.0,-4.0,0.0,9.0,True
G00200,54.0,-2.0,0.0,9.0,True
G00201,54.0,0.0,0.0,9.0,True
G00202,54.0,2.0,0.0,9.0,True
G00203,54.0,4.0,1.0,8.0,True
G00204,56.0,-4.0,0.0,9.0,True
G00205,56.0,-2.0,0.0,9.0,True
G00206,56.0,0.0,0.0,9.0,True
G00207,56.0,2.0,0.0,9.0,True
G00208,56.0,4.0,0.0,9.0,True
G00209,58.0,-4.0,0.0,9.0,True
G00210,58.0,-2.0,0.0,9.0,True
G00211,58.0,0.0,0.0,9.0,True
G00212,58.0,2.0,1.0,8.0,True
G00213,58.0,4.0,1.0,8.0,True
G00214,60.0,-4.0,0.0,9.0,True
G00215,60.0,-2.0,0.0,9.0,True
G00216,60.0,0.0,0.0,9.0,True
G00217,60.0,2.0,0.0,9.0,True
G00218,60.0,4.0,1.0,8.0,True
G00219,62.0,-4.0,0.0,9.0,True
G00220,62.0,-2.0,1.0,8.0,True
G00221,62.0,0.0,1.0,8.0,True
G00222,62.0,2.0,1.0,8.0,True
G00223,62.0,4.0,1.0,8.0,True
G00224,64.0,-10.0,1.0,8.0,True
G00225,64.0,-8.0,1.0,8.0,True
G00226,64.0,-6.0,1.0,8.0,True
G00227,64.0,-4.0,1.0,8.0,True
G00228,64.0,-2.0,1.0,8.0,True
G00229,64.0,0.0,1.0,8.0,True
G00230,64.0,2.0,1.0,8.0,True
G00231,64.0,4.0,1.0,8.0,True
G00232,66.0,-4.0,0.0,9.0,True
G00233,66.0,-2.0,0.0,9.0,True
G00234,66.0,0.0,0.0,9.0,True
G00235,66.0,2.0,0.0,9.0,True
G00236,66.0,4.0,1.0,8.0,True
G00237,68.0,-4.0,0.0,9.0,True
G00238,68.0,-2.0,0.0,9.0,True
G00239,68.0,0.0,0.0,9.0,True
G00240,68.0,2.0,0.0,9.0,True
G00241,68.0,4.0,1.0,8.0,True
G00242,68.0,6.0,3.0,6.0,False
G00243,68.0,8.0,3.0,6.0,False
G00244,68.0,10.0,2.0,7.0,True
G00245,70.0,-4.0,0.0,9.0,True
G00246,70.0,-2.0,0.0,9.0,True
G00247,70.0,0.0,0.0,9.0,True
G00248,70.0,2.0,0.0,9.0,True
G00249,70.0,4.0,1.0,8.0,True
G00250,72.0,-4.0,0.0,9.0,True
G00251,72.0,-2.0,0.0,9.0,True
G00252,72.0,0.0,0.0,9.0,True
G00253,72.0,2.0,0.0,9.0,True
