sample_order,candidate_id,pair_key,stratum,intervention_volume_m3,two_d_low_area_drop_h3_m2,hb_low_area_drop_h3_m2,two_d_avg_gain_h,hb_avg_gain_h,two_d_new_low_area_h3_m2,hb_new_low_area_h3_m2,two_d_score,two_d_low_area_drop_h3_m2_norm,two_d_avg_gain_vs_baseline_h_norm,two_d_intervention_volume_m3_norm,two_d_new_low_area_h3_m2_norm,hb_low_area_drop_h3_m2_norm,hb_avg_gain_vs_baseline_h_norm,hb_intervention_volume_m3_norm,hb_new_low_area_h3_m2_norm,hb_score,rank_2p5d,rank_hb,abs_rank_error
1,P259,"C11,C19",Q1,1747.6165650022615,0.0,0.0,0.001230920728705,0.001230920728705,0.0,0.0,0.1873585995121748,0.0,0.0193798449612392,0.1294956414950591,0.0,0.0,0.0193798449612403,0.1294956414950591,0.0,0.1873585995121752,18,18,0
2,P173,"C8,C17",Q1,2853.8019191503345,0.0,0.0,0.0041851304775972,0.0041851304775972,0.0,0.0,0.1878411774551251,0.0,0.0658914728682164,0.234805586991671,0.0,0.0,0.0658914728682171,0.234805586991671,0.0,0.1878411774551253,17,17,0
3,P125,"C6,C31",Q1,4811.85852670314,0.0,0.0,0.0051698670605613,0.0054160512063023,0.0,0.0,0.1653061936801877,0.0,0.0813953488372094,0.4212145227522368,0.0,0.0,0.0852713178294574,0.4212145227522368,0.0,0.1666627828274746,19,19,0
4,P031,"C3,C37",Q1,5912.045632875094,0.0,0.0,0.0,0.0,0.0,0.0,0.1211069856383003,0.0,0.0,0.5259534290779978,0.0,0.0,0.0,0.5259534290779978,0.0,0.1211069856383003,20,20,0
5,P237,"C10,C25",Q2,1018.0254622738872,0.0,0.0,0.0027080256031511,0.0027080256031511,0.0,0.0,0.2059168041479888,0.0,0.0426356589147278,0.0600378431477729,0.0,0.0,0.0426356589147287,0.0600378431477729,0.0,0.205916804147989,16,16,0
6,P375,"C16,C39",Q2,1246.1272042176456,0.0,0.0,0.0039389463318562,0.0039389463318562,0.0,0.0,0.2094424229922749,0.0,0.0620155038759686,0.0817533557620938,0.0,0.0,0.062015503875969,0.0817533557620938,0.0,0.2094424229922751,15,15,0
7,P413,"C18,C33",Q2,1661.8631835224423,9.0,9.0,0.0088626292466765,0.0088626292466765,0.0,0.0,0.2408647068814153,0.0227272727272727,0.1395348837209302,0.1213318343212198,0.0,0.0227272727272727,0.1395348837209304,0.1213318343212198,0.0,0.2408647068814153,13,13,0
8,P601,"C32,C40",Q2,2410.723152573612,9.0,9.0,0.0061546036435253,0.0061546036435253,0.0,0.0,0.2152483942244795,0.0227272727272727,0.0968992248062007,0.1926240478997561,0.0,0.0227272727272727,0.0968992248062016,0.1926240478997561,0.0,0.2152483942244799,14,14,0
9,P442,"C20,C22",Q3,1250.9038820805542,27.0,27.0,0.0204332840965041,0.0206794682422452,0.0,0.0,0.3309475023700737,0.0681818181818181,0.3217054263565882,0.0822081002436687,0.0,0.0681818181818181,0.3255813953488376,0.0822081002436687,0.0,0.332304091517361,10,10,0
10,P561,"C28,C38",Q3,1817.497178774203,45.0,45.0,0.0142786804529788,0.0137863121614967,0.0,0.0,0.3093962823686652,0.1136363636363636,0.2248062015503874,0.1361483454022271,0.0,0.1136363636363636,0.2170542635658917,0.1361483454022271,0.0,0.3066831040740916,12,12,0
11,P044,"C4,C13",Q3,4753.852934295525,81.0,81.0,0.0152634170359428,0.0150172328902018,0.0,0.0,0.3138001317744526,0.2045454545454545,0.2403100775193788,0.4156923326852303,0.0,0.2045454545454545,0.2364341085271321,0.4156923326852303,0.0,0.3124435426271662,11,11,0
12,P547,"C27,C36",Q3,6000.249096835018,72.0,81.0,0.0238798621368783,0.0241260462826194,0.0,0.0,0.3332547561240269,0.1818181818181818,0.3759689922480611,0.5343504865398421,0.0,0.2045454545454545,0.3798449612403105,0.5343504865398421,0.0,0.3448386179985869,9,9,0
13,P528,"C26,C29",Q4,1793.7992969788738,81.0,81.0,0.0206794682422452,0.0206794682422452,0.0,0.0,0.3859151003933553,0.2045454545454545,0.3255813953488376,0.1338922834946155,0.0,0.2045454545454545,0.3255813953488376,0.1338922834946155,0.0,0.3859151003933553,8,8,0
