candidate_id,pair_key,rank_mean,rank_median,rank_std,top10_selection_count,top10_selection_frequency
P208,"C9,C24",1.0,1.0,0.0,1000,1.0
P200,"C9,C15",2.099,2.0,0.4974398922949852,1000,1.0
P198,"C9,C12",3.105,3.0,0.3716357263680567,1000,1.0
P338,"C15,C24",4.733,4.0,1.524478610881449,1000,1.0
P218,"C9,C35",5.505,6.0,0.722839883720799,1000,1.0
P289,"C12,C24",7.335,7.0,2.1534652104021577,998,0.998
P210,"C9,C26",8.231,8.0,0.8236002169240347,993,0.993
P199,"C9,C13",6.188,6.0,1.775896902922523,963,0.963
P206,"C9,C21",8.095,8.0,1.9218919503105971,911,0.911
P211,"C9,C27",10.922,10.0,1.551232517168951,506,0.506
P504,"C24,C35",10.229,11.0,2.098323607540543,452,0.452
P314,"C13,C24",11.266,11.0,0.8036727504960521,120,0.12
P496,"C24,C26",12.632,13.0,1.1899546176186693,54,0.054
P212,"C9,C28",14.527,15.0,1.4626723523778022,2,0.002
P497,"C24,C27",14.451,14.0,0.7225794912126423,1,0.001
P461,"C21,C24",17.226,17.0,1.4494912987062127,0,0.0
P149,"C7,C24",17.488,17.0,1.581884432680959,0,0.0
P498,"C24,C28",18.411,18.0,0.6406945368032172,0,0.0
P205,"C9,C20",18.614,19.0,2.554119716757131,0,0.0
P281,"C12,C15",19.111,19.5,1.947940829048324,0,0.0
P207,"C9,C22",22.193,21.0,3.073629482907496,0,0.0
P348,"C15,C35",23.053,22.0,3.8003465149422433,0,0.0
P280,"C12,C13",24.805,23.0,3.83610358185108,0,0.0
P443,"C20,C24",25.474,24.0,2.577589565459941,0,0.0
P214,"C9,C30",25.782,25.0,4.373282703142068,0,0.0
P336,"C15,C21",26.998,27.0,1.259993485532199,0,0.0
P340,"C15,C26",27.795,27.0,3.0894205799016,0,0.0
P217,"C9,C33",29.083,29.0,5.325830965725016,0,0.0
P299,"C12,C35",30.67,28.0,8.98486660044699,0,0.0
P213,"C9,C29",33.734,32.0,8.134827559292175,0,0.0
P478,"C22,C24",34.383,32.0,5.434320826271013,0,0.0
P216,"C9,C32",34.906,35.0,6.8578563847746326,0,0.0
P224,"C9,C44",35.177,34.0,4.922184362546665,0,0.0
P287,"C12,C21",35.492,33.0,6.448373245828557,0,0.0
P202,"C9,C17",35.586,35.0,6.097522757955382,0,0.0
P291,"C12,C26",36.066,34.0,8.182578969896868,0,0.0
P341,"C15,C27",36.4,35.0,5.218930660320871,0,0.0
P201,"C9,C16",38.51,38.0,6.784388544882133,0,0.0
P209,"C9,C25",39.279,39.0,7.619265857824637,0,0.0
P500,"C24,C30",41.869,40.0,6.29503506475273,0,0.0
P203,"C9,C18",43.426,41.0,8.34878591330657,0,0.0
P324,"C13,C35",43.876,43.0,7.887003792875267,0,0.0
P215,"C9,C31",45.257,43.0,8.89708430381038,0,0.0
P292,"C12,C27",47.247,46.0,11.121676253275975,0,0.0
P204,"C9,C19",47.942,45.0,9.550699024252204,0,0.0
P503,"C24,C33",48.36,48.0,5.640941430312872,0,0.0
